iter	Passed	Remaining
473	2755	3057
474	2761	3051
475	2766	3045
476	2772	3039
477	2777	3033
478	2782	3026
479	2788	3020
480	2794	3014
481	2799	3008
482	2805	3002
483	2811	2997
484	2816	2991
485	2822	2985
486	2828	2979
487	2834	2974
488	2840	2967
489	2845	2961
490	2850	2955
491	2856	2949
492	2862	2943
493	2867	2937
494	2872	2930
495	2878	2924
496	2884	2919
497	2890	2913
498	2895	2907
499	2901	2901
500	2906	2895
501	2912	2889
502	2918	2883
503	2924	2877
504	2929	2871
505	2935	2865
506	2940	2859
507	2946	2854
508	2952	2847
509	2957	2841
510	2962	2835
511	2968	2829
512	2975	2824
513	2981	2818
514	2986	2812
515	2991	2806
516	2997	2800
517	3003	2794
518	3008	2788
519	3014	2782
520	3020	2776
521	3026	2771
522	3031	2765
523	3037	2759
524	3044	2754
525	3049	2748
526	3055	2742
527	3061	2736
528	3066	2730
529	3072	2724
530	3079	2719
531	3084	2713
532	3090	2707
533	3096	2702
534	3102	2696
535	3108	2690
536	3115	2686
537	3121	2680
538	3126	2674
539	3132	2668
540	3137	2662
541	3143	2656
542	3149	2650
543	3155	2644
544	3160	2638
545	3166	2632
546	3171	2626
547	3177	2621
548	3182	2614
549	3188	2608
550	3194	2602
551	3200	2597
552	3206	2591
553	3212	2586
554	3218	2580
555	3223	2574
556	3228	2567
557	3234	2561
558	3239	2555
559	3244	2549
560	3250	2543
561	3256	2537
562	3261	2531
563	3266	2525
564	3272	2519
565	3277	2513
566	3283	2507
567	3289	2501
568	3295	2496
569	3301	2490
570	3306	2484
571	3312	2478
572	3317	2472
573	3324	2467
574	3329	2461
575	3335	2455
576	3341	2449
577	3346	2443
578	3352	2437
579	3357	2431
580	3363	2425
581	3368	2419
582	3375	2414
583	3381	2408
584	3388	2403
585	3393	2397
586	3400	2392
587	3406	2386
588	3411	2380
589	3417	2374
590	3424	2369
591	3429	2363
592	3435	2357
593	3440	2351
594	3446	2346
595	3452	2340
596	3458	2334
597	3464	2328
598	3469	2322
599	3475	2317
600	3482	2311
601	3487	2305
602	3493	2300
603	3499	2294
604	3505	2288
605	3511	2282
606	3516	2276
607	3522	2271
608	3528	2265
609	3533	2259
610	3539	2253
611	3544	2247
612	3549	2241
613	3555	2235
614	3561	2229
615	3567	2223
616	3573	2218
617	3578	2211
618	3584	2206
619	3591	2201
620	3597	2195
621	3602	2189
622	3608	2183
623	3614	2177
624	3619	2171
625	3624	2165
626	3630	2159
627	3635	2153
628	3641	2147
629	3646	2141
630	3652	2135
631	3658	2130
632	3664	2124
633	3670	2118
634	3676	2113
635	3682	2107
636	3687	2101
637	3694	2096
638	3699	2090
639	3705	2084
640	3711	2078
641	3717	2072
642	3722	2066
643	3728	2060
644	3733	2054
645	3740	2049
646	3746	2043
647	3752	2038
648	3758	2032
649	3763	2026
650	3769	2020
651	3775	2014
652	3780	2008
653	3786	2003
654	3791	1997
655	3798	1991
656	3803	1985
657	3808	1979
658	3814	1973
659	3820	1967
660	3826	1962
661	3832	1956
662	3838	1951
663	3845	1946
664	3852	1940
665	3859	1935
666	3866	1930
667	3874	1925
668	3880	1920
669	3887	1914
670	3894	1909
671	3900	1903
672	3906	1898
673	3912	1892
674	3918	1886
675	3923	1880
676	3930	1875
677	3936	1869
678	3942	1863
679	3947	1857
680	3954	1852
681	3960	1846
682	3967	1841
683	3972	1835
684	3978	1829
685	3984	1823
686	3990	1817
687	3995	1812
688	4001	1806
689	4007	1800
690	4013	1794
691	4021	1789
692	4027	1783
693	4033	1778
694	4038	1772
695	4044	1766
696	4050	1760
697	4055	1754
698	4061	1749
699	4067	1743
700	4073	1737
701	4079	1731
702	4084	1725
703	4090	1719
704	4096	1713
705	4101	1708
706	4107	1702
707	4115	1697
708	4122	1691
709	4129	1686
710	4135	1680
711	4141	1675
712	4147	1669
713	4152	1663
714	4158	1657
715	4164	1652
716	4171	1646
717	4177	1640
718	4182	1634
719	4188	1628
720	4193	1622
721	4200	1617
722	4206	1611
723	4211	1605
724	4217	1599
725	4223	1594
726	4229	1588
727	4235	1582
728	4240	1576
729	4245	1570
730	4251	1564
731	4256	1558
732	4262	1552
733	4268	1546
734	4274	1541
735	4280	1535
736	4286	1529
737	4292	1523
738	4298	1518
739	4304	1512
740	4309	1506
741	4314	1500
742	4321	1494
743	4327	1489
744	4333	1483
745	4338	1477
746	4344	1471
747	4349	1465
748	4355	1459
749	4360	1453
750	4366	1447
751	4371	1441
752	4377	1435
753	4383	1430
754	4389	1424
755	4395	1418
756	4401	1413
757	4408	1407
758	4414	1401
759	4419	1395
760	4425	1389
761	4430	1383
762	4436	1377
763	4441	1371
764	4447	1366
765	4454	1360
766	4459	1354
767	4465	1348
768	4470	1342
769	4476	1337
770	4481	1331
771	4486	1325
772	4492	1319
773	4498	1313
774	4504	1307
775	4509	1301
776	4515	1295
777	4520	1289
778	4526	1284
779	4531	1278
780	4537	1272
781	4542	1266
782	4548	1260
783	4554	1254
784	4560	1248
785	4565	1243
786	4571	1237
787	4576	1231
788	4582	1225
789	4588	1219
790	4593	1213
791	4599	1207
792	4604	1202
793	4610	1196
794	4615	1190
795	4621	1184
796	4627	1178
797	4632	1172
798	4637	1166
799	4643	1160
800	4649	1155
801	4655	1149
802	4660	1143
803	4666	1137
804	4671	1131
805	4677	1125
806	4682	1119
807	4688	1114
808	4695	1108
809	4701	1102
810	4706	1096
811	4711	1090
812	4717	1085
813	4723	1079
814	4728	1073
815	4734	1067
816	4739	1061
817	4745	1055
818	4751	1050
819	4756	1044
820	4761	1038
821	4767	1032
822	4774	1026
823	4779	1020
824	4786	1015
825	4791	1009
826	4797	1003
827	4803	997
828	4808	991
829	4813	985
830	4819	980
831	4824	974
832	4830	968
833	4835	962
834	4841	956
835	4847	950
836	4852	945
837	4858	939
838	4863	933
839	4869	927
840	4875	921
841	4881	915
842	4886	910
843	4892	904
844	4898	898
845	4904	892
846	4909	886
847	4915	881
848	4921	875
849	4927	869
850	4933	863
851	4939	857
852	4945	852
853	4950	846
854	4956	840
855	4962	834
856	4967	828
857	4973	823
858	4979	817
859	4985	811
860	4991	805
861	4997	800
862	5003	794
863	5008	788
864	5013	782
865	5019	776
866	5025	770
867	5030	765
868	5036	759
869	5041	753
870	5047	747
871	5052	741
872	5058	735
873	5063	730
874	5069	724
875	5075	718
876	5081	712
877	5087	706
878	5092	701
879	5098	695
880	5103	689
881	5109	683
882	5116	677
883	5122	672
884	5128	666
885	5133	660
886	5139	654
887	5145	648
888	5150	643
889	5156	637
890	5161	631
891	5167	625
892	5172	619
893	5178	614
894	5184	608
895	5191	602
896	5196	596
897	5202	590
898	5208	585
899	5214	579
900	5220	573
901	5225	567
902	5231	561
903	5236	556
904	5242	550
905	5249	544
906	5254	538
907	5260	533
908	5266	527
909	5272	521
910	5277	515
911	5283	509
912	5289	504
913	5294	498
914	5300	492
915	5305	486
916	5311	480
917	5316	474
918	5321	469
919	5327	463
920	5333	457
921	5339	451
922	5345	445
923	5352	440
924	5358	434
925	5363	428
926	5369	422
927	5374	416
928	5380	411
929	5388	405
930	5394	399
931	5399	393
932	5405	388
933	5410	382
934	5416	376
935	5421	370
936	5427	364
937	5433	359
938	5438	353
939	5444	347
940	5450	341
941	5456	335
942	5462	330
943	5467	324
944	5472	318
945	5478	312
946	5485	307
947	5491	301
948	5497	295
949	5502	289
950	5508	283
951	5514	278
952	5519	272
953	5526	266
954	5532	260
955	5538	254
956	5543	249
957	5548	243
958	5554	237
959	5559	231
960	5565	225
961	5571	220
962	5577	214
963	5582	208
964	5588	202
965	5593	196
966	5599	191
967	5604	185
968	5610	179
969	5615	173
970	5621	167
971	5627	162
972	5633	156
973	5639	150
974	5645	144
975	5650	138
976	5656	133
977	5662	127
978	5667	121
979	5673	115
980	5680	110
981	5685	104
982	5691	98
983	5696	92
984	5702	86
985	5708	81
986	5713	75
987	5719	69
988	5724	63
989	5730	57
990	5736	52
991	5741	46
992	5746	40
993	5752	34
994	5758	28
995	5763	23
996	5769	17
997	5775	11
998	5781	5
999	5786	0
