iter	MAE	RMSE
108	26.14218437	38.69930747
109	26.1159768	38.65171339
110	26.09332486	38.60449071
111	26.07565548	38.58523753
112	26.06246447	38.56856865
113	26.0304643	38.52365409
114	26.00062322	38.47811798
115	25.98104851	38.44022402
116	25.95396841	38.40516319
117	25.93446728	38.38082132
118	25.91672618	38.34811522
119	25.89787447	38.32005153
120	25.89315682	38.31548573
121	25.87002563	38.2848235
122	25.85347884	38.26076634
123	25.83377587	38.22694806
124	25.81490455	38.19753484
125	25.78735231	38.14220708
126	25.77695858	38.12310145
127	25.75938781	38.10994577
128	25.74298869	38.08447862
129	25.71524802	38.04404414
130	25.69576737	38.01363128
131	25.6734646	37.9813509
132	25.64572243	37.92868922
133	25.63057262	37.90190543
134	25.61162037	37.86921715
135	25.60012438	37.85076491
136	25.58522698	37.82187268
137	25.56535336	37.7955799
138	25.54706446	37.77211043
139	25.52823785	37.75577973
140	25.51488272	37.73131928
141	25.50238182	37.71399552
142	25.49278473	37.70041417
143	25.4700382	37.67255515
144	25.44710732	37.64376521
145	25.42948267	37.61430745
146	25.41587748	37.58940147
147	25.38738867	37.5415448
148	25.36607409	37.5016483
149	25.34234307	37.4585937
150	25.32258558	37.42322306
151	25.30857067	37.40378935
152	25.28797486	37.36997661
153	25.26633105	37.32887293
154	25.24585864	37.28933458
155	25.22420312	37.26369953
156	25.20248495	37.22427928
157	25.18335539	37.18985453
158	25.16102322	37.14282517
159	25.14545977	37.11730009
160	25.11868568	37.07476247
161	25.09619002	37.03134556
162	25.07751351	37.00231944
163	25.05803061	36.98787669
164	25.04289353	36.96473141
165	25.02489507	36.92913245
166	25.01583957	36.91755746
167	24.99938778	36.88313821
168	24.98709474	36.85425624
169	24.97603091	36.84086552
170	24.95192972	36.8039627
171	24.93040958	36.76740632
172	24.9074653	36.75235895
173	24.89335547	36.72130145
174	24.87937155	36.70840542
175	24.86382442	36.68689348
176	24.84540954	36.65830343
177	24.83515149	36.64405385
178	24.8207311	36.61663546
179	24.80619132	36.58878314
180	24.79037595	36.57792649
181	24.76800933	36.54414448
182	24.75847296	36.52933704
183	24.74364668	36.49731459
184	24.72461477	36.45898584
185	24.70896788	36.43240179
186	24.69578805	36.41838925
187	24.67440167	36.40070317
188	24.66079463	36.37901102
189	24.63800565	36.33726969
190	24.6172486	36.2980829
191	24.60305663	36.2722812
192	24.59046803	36.24867569
193	24.57421206	36.22429527
194	24.55905085	36.19591206
195	24.54277365	36.16280725
196	24.5206208	36.12390811
197	24.50803864	36.10020831
198	24.48897639	36.06501248
199	24.46957633	36.03560388
200	24.45290473	36.01072437
201	24.43419664	35.97406929
202	24.41677969	35.95590801
203	24.39612396	35.93735486
204	24.38009907	35.90366731
205	24.37293389	35.89477133
206	24.35492249	35.85463342
207	24.34593826	35.84161698
208	24.33409761	35.83178511
209	24.32657638	35.82332539
210	24.31213644	35.80028854
211	24.29994216	35.78931068
212	24.28289371	35.75251828
213	24.27461328	35.73954732
214	24.26136379	35.711749
215	24.24704513	35.68539285
216	24.23317271	35.65983907
217	24.21789825	35.63073787
218	24.2062696	35.60870424
219	24.189668	35.57985418
220	24.17901879	35.56623278
221	24.1643821	35.55447385
222	24.15213041	35.53259431
223	24.14140237	35.51103649
224	24.12265665	35.47151172
225	24.10665538	35.4432388
226	24.09430949	35.41932055
227	24.07647369	35.38236516
228	24.06799995	35.36513407
229	24.05703335	35.34811719
230	24.04553032	35.33812903
231	24.02862615	35.31332526
232	24.02058212	35.30389815
233	24.01039725	35.28101668
234	24.00084361	35.27332448
235	23.99434523	35.26036139
236	23.98716717	35.25080444
237	23.97486867	35.22714962
238	23.95985289	35.20272973
239	23.94721007	35.18495979
240	23.93762063	35.16620862
241	23.91755724	35.13886888
242	23.90699071	35.12217849
243	23.89612759	35.11361403
244	23.88094047	35.09150872
245	23.86624264	35.06881229
246	23.8503569	35.03807541
247	23.84405891	35.02936131
248	23.83852119	35.02191394
249	23.82249809	34.99561811
250	23.80937111	34.96900529
251	23.79573582	34.94156839
252	23.78889468	34.9329495
253	23.77942302	34.91569683
254	23.76751042	34.88996723
255	23.7515831	34.87160484
256	23.73988755	34.8587695
257	23.729177	34.83652328
258	23.70859439	34.80514278
259	23.69412625	34.77795806
260	23.68129841	34.75878439
261	23.67369997	34.75509728
262	23.6663467	34.7396535
263	23.6505738	34.71405036
264	23.64585452	34.70763176
265	23.63714881	34.69072504
266	23.62756369	34.68054604
267	23.61429201	34.65991297
268	23.61005426	34.65412383
269	23.60021072	34.63470356
270	23.58952691	34.6204414
271	23.56963065	34.58944314
272	23.55995474	34.57903446
273	23.54507925	34.54661055
274	23.52751101	34.51207736
275	23.51584856	34.48642977
276	23.50819586	34.47165858
277	23.49879185	34.45347565
278	23.49208294	34.44059586
279	23.48352423	34.41939864
280	23.47418451	34.40135549
281	23.46477349	34.39216024
282	23.45498453	34.37213991
283	23.4460368	34.36091029
284	23.42952657	34.33247263
285	23.42259265	34.32241012
286	23.40938276	34.29334323
287	23.40496295	34.28881229
288	23.39261338	34.26773656
289	23.38608605	34.25541717
290	23.37818878	34.24032122
291	23.36920616	34.22906106
292	23.35811165	34.21239963
293	23.34621832	34.19181893
294	23.33569341	34.1716663
295	23.32158311	34.14556753
296	23.31223311	34.13026411
297	23.30009181	34.10838274
298	23.28963328	34.08895086
299	23.2693609	34.05992721
300	23.25924423	34.05245506
301	23.24063138	34.02238062
302	23.22548789	33.98816227
303	23.21638344	33.96921652
304	23.20108262	33.93928823
305	23.19174948	33.92250424
306	23.18043777	33.90865612
307	23.16843333	33.88865091
308	23.1597708	33.88106901
309	23.14579191	33.85450319
310	23.13834648	33.84059761
311	23.12482439	33.82060336
312	23.11311778	33.80518734
313	23.09707439	33.78241903
314	23.09180034	33.77174717
315	23.07566037	33.73847275
316	23.07068245	33.73323406
317	23.06116307	33.72291551
318	23.05229548	33.7069884
319	23.03797838	33.67689828
320	23.02753192	33.65800898
321	23.01364108	33.62997119
322	22.99668328	33.60118068
323	22.98451286	33.57577041
324	22.97021883	33.5514648
325	22.96279387	33.54073888
326	22.95210493	33.52210002
327	22.93888303	33.49742768
328	22.93059836	33.48748507
329	22.9208479	33.47048938
330	22.91467919	33.46496022
331	22.90472609	33.44981695
332	22.89646431	33.43261564
333	22.88647335	33.41331821
334	22.87689965	33.39555701
335	22.8644308	33.3693918
336	22.85417491	33.35243097
337	22.84161202	33.33354129
338	22.83808155	33.33040355
339	22.82407135	33.3066725
340	22.81836464	33.29881524
341	22.80594165	33.28202127
342	22.79880429	33.26653621
343	22.78742797	33.24321531
344	22.77539431	33.22262395
345	22.76340828	33.20125696
346	22.75631573	33.18803776
347	22.7434639	33.16592571
348	22.72995313	33.14149882
349	22.71994813	33.12246008
350	22.71579957	33.11621013
351	22.7110403	33.10988122
352	22.70120106	33.08928638
353	22.69075137	33.06554187
354	22.68306973	33.0536605
355	22.67693709	33.04267914
356	22.6637914	33.02200519
357	22.65253454	32.99830123
358	22.64363069	32.98085423
359	22.63457736	32.97284118
360	22.62502233	32.95694737
361	22.60696091	32.93247287
362	22.59833896	32.9174583
363	22.58704076	32.89958501
364	22.57385572	32.87622339
365	22.56408441	32.85894783
366	22.55565398	32.84596477
367	22.54782545	32.83747972
368	22.53606489	32.82375186
369	22.52386203	32.80005972
370	22.50961846	32.77303702
371	22.49314963	32.74583485
372	22.48525882	32.73560344
373	22.47370256	32.71725044
374	22.46364179	32.70130279
375	22.45183519	32.67673124
376	22.44477138	32.66916387
377	22.43070522	32.64797461
378	22.42200543	32.63475215
379	22.4143195	32.61958779
380	22.40513879	32.60434068
381	22.39585841	32.58636893
382	22.38802212	32.57081692
383	22.38109289	32.56011191
384	22.37247333	32.54662366
385	22.36618695	32.54198942
386	22.35746581	32.52678227
387	22.34844891	32.50989382
388	22.34119078	32.49579808
389	22.33309256	32.48284644
390	22.32417694	32.46881603
391	22.31356563	32.44713759
392	22.30550366	32.44012234
393	22.29633208	32.42725587
394	22.28876604	32.41868985
395	22.27823189	32.39902039
396	22.26715671	32.38372939
397	22.26080979	32.37464557
398	22.25118252	32.35331697
399	22.23925041	32.33059323
400	22.22800652	32.3075617
401	22.21402097	32.28450179
402	22.20672511	32.27428304
403	22.20152753	32.26491794
404	22.18813438	32.24296322
405	22.18023706	32.22943834
406	22.16987353	32.20982557
407	22.16162448	32.19523471
408	22.15332764	32.1798356
409	22.14918415	32.17441363
410	22.14174573	32.16442251
411	22.13382404	32.14573276
412	22.11959454	32.12353384
413	22.11167173	32.10871497
414	22.10276474	32.09432778
415	22.09147866	32.07404006
416	22.08515044	32.06339235
417	22.08081195	32.05572915
418	22.07090878	32.04030175
419	22.06396209	32.02960625
420	22.05678649	32.02287727
421	22.04734372	32.01119808
422	22.03869191	31.99687637
423	22.03128812	31.9887701
424	22.02236986	31.96747631
425	22.00998866	31.94427019
426	22.00022632	31.93104933
427	21.99195391	31.91286585
428	21.98043118	31.89163747
429	21.96969356	31.87490367
430	21.9611431	31.86025433
431	21.95331142	31.84849936
432	21.94253459	31.82798819
433	21.93414854	31.82113234
434	21.9243692	31.80898863
435	21.91718951	31.80198345
436	21.90863947	31.78489691
437	21.90422755	31.77790748
438	21.89781106	31.76666259
439	21.88672074	31.75475459
440	21.87577143	31.73252059
441	21.86649878	31.71869897
442	21.86192927	31.71051505
443	21.85668903	31.70608132
444	21.84647303	31.6939102
445	21.83925695	31.68262167
446	21.83392584	31.67453044
447	21.82208733	31.64914237
448	21.80937291	31.62811107
449	21.80358729	31.62017224
450	21.79226481	31.60520846
451	21.77973869	31.58559821
452	21.77227338	31.57856794
453	21.76217246	31.56295045
454	21.75628987	31.55071004
455	21.74707808	31.53536918
456	21.73822111	31.51701933
457	21.72954097	31.50037603
458	21.72592841	31.49472533
459	21.71932058	31.48456174
460	21.71112817	31.47033838
461	21.70062333	31.45161806
462	21.69174783	31.43836916
463	21.68441589	31.42890259
464	21.67421069	31.41149843
465	21.66211729	31.38891623
466	21.65197215	31.37118465
467	21.64146232	31.35624712
468	21.63352606	31.33859207
469	21.62233546	31.32257146
470	21.61971539	31.31997353
471	21.61351409	31.3077512
472	21.60723685	31.29625651
473	21.59904445	31.27956785
474	21.59162713	31.26682577
475	21.58452186	31.25687037
476	21.57697867	31.24292228
477	21.56802675	31.22915296
478	21.56332278	31.22054444
479	21.55430318	31.20672242
480	21.54591976	31.19133265
481	21.53712211	31.1774662
482	21.52932574	31.16048523
483	21.52022091	31.14605269
484	21.5150714	31.1402044
485	21.50693917	31.12409721
486	21.49695634	31.10737921
487	21.48581297	31.09129906
488	21.47760741	31.07497458
489	21.47220971	31.06983214
490	21.46506292	31.05859975
491	21.45972844	31.04875204
492	21.45054116	31.02862122
493	21.44664074	31.02173646
494	21.44176939	31.01839866
495	21.43838763	31.01499886
496	21.43117122	31.00393687
497	21.42410524	30.99639957
498	21.41150424	30.96880347
499	21.40219108	30.95923607
500	21.39475915	30.9480353
501	21.38722446	30.93455607
502	21.38199975	30.92815455
503	21.37352933	30.91930161
504	21.3666572	30.90793482
505	21.3611875	30.89976206
506	21.3550824	30.890864
507	21.34766123	30.87628259
508	21.34269515	30.8673565
509	21.33646394	30.8582469
510	21.32832515	30.84129799
511	21.32226111	30.8306691
512	21.3157845	30.81799544
513	21.30725716	30.8048418
514	21.3039506	30.79929839
515	21.29770949	30.78741811
516	21.29241924	30.77856094
517	21.28351654	30.76258863
518	21.28006954	30.75932802
519	21.26923697	30.73946544
520	21.26058622	30.72401673
521	21.25578194	30.71896163
522	21.25073532	30.71168852
523	21.24649025	30.70652745
524	21.23406836	30.68886268
525	21.22285584	30.6727618
526	21.21233044	30.65768199
527	21.20777772	30.6508261
528	21.19589211	30.62947765
529	21.18910175	30.61867546
530	21.18001695	30.59853306
531	21.17032345	30.58245228
532	21.15975	30.56581189
533	21.14741629	30.5514341
534	21.13947068	30.54006581
535	21.13000557	30.52107276
536	21.12348907	30.50696596
537	21.11310916	30.49075457
538	21.1046275	30.47856091
539	21.09504305	30.46054896
540	21.08436031	30.44728924
541	21.0734441	30.4349675
542	21.0653385	30.42049217
543	21.05674861	30.40574232
544	21.05028596	30.39476923
545	21.0428882	30.38437787
546	21.0353065	30.37061106
547	21.03014325	30.36324493
548	21.0261429	30.35825825
549	21.01841883	30.34418133
550	21.00567318	30.32033837
551	20.99475041	30.30370917
552	20.98736377	30.28828155
553	20.98063978	30.27539623
554	20.97236513	30.25981909
555	20.96383279	30.24284314
556	20.95749432	30.23456674
557	20.95352989	30.22697002
558	20.94985431	30.22397058
559	20.94378846	30.21101182
560	20.93725306	30.20195868
561	20.93020709	30.18771195
562	20.92502957	30.17913779
563	20.9204125	30.17525487
564	20.9113771	30.16149166
565	20.90181937	30.14767158
566	20.89673565	30.14197976
567	20.88892941	30.13213223
568	20.8791832	30.1143087
569	20.8720701	30.10340057
570	20.86373129	30.09075272
571	20.85126816	30.06734118
572	20.84481896	30.0554024
573	20.84061852	30.05110388
574	20.83129851	30.03373533
575	20.82491018	30.02255636
576	20.82021749	30.01756517
577	20.80889099	29.99992197
578	20.80241454	29.98985978
579	20.79759242	29.98295034
580	20.7922896	29.97458128
581	20.78861552	29.97190397
582	20.78275983	29.96364842
583	20.77584831	29.94937825
584	20.76470261	29.93099988
585	20.75565989	29.91683326
586	20.75053256	29.90781111
587	20.73887016	29.88622013
588	20.72865271	29.87075764
589	20.72353597	29.86165543
590	20.71466442	29.84518984
591	20.70930173	29.83665959
592	20.69801854	29.81412515
593	20.69210425	29.8058052
594	20.68370634	29.79095055
595	20.67479195	29.77843647
596	20.66688564	29.76788539
597	20.65932934	29.75820435
598	20.65247884	29.74729355
599	20.63889145	29.7226083
600	20.63001343	29.70772128
601	20.62565777	29.70321959
602	20.61761908	29.69261348
603	20.60700755	29.67420077
604	20.59944899	29.66391717
605	20.59072481	29.64830616
606	20.58561485	29.64086908
607	20.57769983	29.63127568
608	20.57047839	29.61997924
609	20.56442911	29.61245983
610	20.56082895	29.60806889
611	20.55659322	29.60298109
612	20.54839183	29.59028127
613	20.5422723	29.58297156
614	20.53689522	29.57499922
615	20.52760446	29.55847791
616	20.52408079	29.55376242
617	20.5190376	29.5457647
618	20.50784208	29.5264029
619	20.50200439	29.51805236
620	20.4977752	29.51289593
621	20.49239279	29.5053352
622	20.48030837	29.48693794
623	20.47359902	29.47470823
624	20.46984442	29.4674268
625	20.46201043	29.45427529
626	20.45560379	29.44542661
627	20.44822179	29.43148897
628	20.4403951	29.41986898
629	20.43557445	29.41203807
630	20.42699539	29.39603743
631	20.4202091	29.38537438
632	20.40935843	29.36827157
633	20.40180345	29.35196642
634	20.3960667	29.34121511
635	20.39044893	29.32912334
636	20.38269062	29.31829443
637	20.37278585	29.29877708
638	20.36628267	29.28905082
639	20.35901774	29.27634585
640	20.34985075	29.25876088
641	20.34272502	29.24691987
642	20.33723866	29.23770014
643	20.32576939	29.21698095
644	20.31896094	29.20443575
645	20.30892104	29.1865148
646	20.29990188	29.17530181
647	20.29222801	29.16269996
648	20.28437475	29.14727291
649	20.28056484	29.14405888
650	20.27470491	29.13341111
651	20.26624318	29.12027585
652	20.26051042	29.11026556
653	20.25381767	29.10291176
654	20.24718947	29.09233094
655	20.24001415	29.07833009
656	20.23655367	29.07352341
657	20.23090314	29.06159716
658	20.22769667	29.05796604
659	20.22106345	29.04320135
660	20.21681552	29.03502589
661	20.20653385	29.01515917
662	20.19938907	29.00348853
663	20.19007633	28.99024959
664	20.18606236	28.98560505
665	20.17662649	28.96764252
666	20.17010214	28.96050241
667	20.16687121	28.957094
668	20.16182408	28.95311462
669	20.15587606	28.94328934
670	20.15191926	28.93774196
671	20.14328588	28.92613391
672	20.13341334	28.91109912
673	20.12220771	28.88829643
674	20.11296908	28.8715308
675	20.10477234	28.85467902
676	20.09603197	28.84423509
677	20.0893167	28.83438839
678	20.0808429	28.81868787
679	20.07632493	28.81070539
680	20.06976004	28.8033285
681	20.06260883	28.79206578
682	20.05548975	28.78121599
683	20.04839236	28.76976606
684	20.0441978	28.76629577
685	20.03562274	28.74903755
686	20.02830288	28.73920849
687	20.02216781	28.72901347
688	20.0168633	28.72122043
689	20.01281887	28.71472002
690	20.00575022	28.70170978
691	19.99764324	28.68627597
692	19.9878706	28.67242008
693	19.98197659	28.66371042
694	19.97512828	28.64986354
695	19.96598734	28.63682769
696	19.95994682	28.62602276
697	19.95298891	28.61271816
698	19.94648582	28.60207335
699	19.93725162	28.58618853
700	19.93191444	28.57538269
701	19.92891385	28.5703598
702	19.91910831	28.55821025
703	19.91670475	28.55627561
704	19.91376106	28.55359458
705	19.9073448	28.54123895
706	19.8986274	28.52657965
707	19.89114624	28.51298075
708	19.88310605	28.50176164
709	19.87585755	28.48690972
710	19.87149187	28.47982898
711	19.86474169	28.4690122
712	19.85560212	28.45366275
713	19.84822085	28.44255014
714	19.83956212	28.42847208
715	19.83252646	28.41529375
716	19.82775298	28.40604534
717	19.81979382	28.39613373
718	19.81382732	28.38727871
719	19.80963605	28.37992576
720	19.80142626	28.36828968
721	19.79584655	28.3586796
722	19.79024718	28.35166434
723	19.78670209	28.34597065
724	19.78308596	28.33972967
725	19.77744504	28.33123448
726	19.76863366	28.31364003
727	19.76097601	28.30049942
728	19.75430217	28.28805902
729	19.75066777	28.2851215
730	19.74407016	28.27638075
731	19.74174121	28.27381432
732	19.73429875	28.25897333
733	19.72758051	28.24739015
734	19.72291182	28.23837018
735	19.71202381	28.22024701
736	19.70708738	28.21248123
737	19.70315009	28.20807589
738	19.69905485	28.2016771
739	19.69032283	28.19054658
740	19.68535151	28.18032266
741	19.67958762	28.17419572
742	19.67092503	28.16306109
743	19.66531134	28.15334747
744	19.65852357	28.14114648
745	19.65275392	28.13057364
746	19.64893483	28.12463418
747	19.64296378	28.11642221
748	19.63809708	28.10886879
749	19.63119896	28.10032712
750	19.62499672	28.08942386
751	19.62090214	28.08371083
752	19.6130946	28.06676063
753	19.60850166	28.05928128
754	19.6010518	28.04723173
755	19.59504133	28.03814436
756	19.59028989	28.02968791
757	19.58377033	28.01846606
758	19.57688777	28.00780068
759	19.57246792	28.00216006
760	19.56051501	27.9809277
761	19.55438636	27.96947259
762	19.54909886	27.9652319
763	19.54530344	27.9602213
764	19.54153265	27.9556857
765	19.53106345	27.93881148
766	19.52733137	27.93081407
767	19.52218238	27.92400516
768	19.51619492	27.9177
769	19.51195223	27.91168481
770	19.50893073	27.90887273
771	19.5028984	27.90017313
772	19.49564402	27.8853093
773	19.49072407	27.87632848
774	19.48263803	27.86475807
775	19.47821851	27.85839589
776	19.47134077	27.84405025
777	19.4683449	27.84064311
778	19.45819367	27.82133044
779	19.45281524	27.81427857
780	19.44954723	27.80845191
781	19.44227234	27.7951615
782	19.43557116	27.7851723
783	19.42978405	27.77555477
784	19.42644156	27.77199943
785	19.42113827	27.76402996
786	19.41269143	27.74943704
787	19.40882295	27.74245485
788	19.40490281	27.73789605
789	19.3990966	27.72726118
790	19.39558787	27.72428909
791	19.39033051	27.71588254
792	19.3844545	27.71094239
793	19.38105199	27.70737968
794	19.37412304	27.69585872
795	19.37074218	27.69203729
796	19.36589696	27.68716924
797	19.36179968	27.68170753
798	19.35350914	27.66616225
799	19.34452198	27.65126621
800	19.34108268	27.64843684
801	19.33719373	27.64399928
802	19.33001983	27.63122479
803	19.3241099	27.62086295
804	19.31977828	27.61397436
805	19.31021969	27.59496597
806	19.30263299	27.58484634
807	19.29681859	27.5774511
808	19.29415326	27.5748427
809	19.29039653	27.56859671
810	19.28496483	27.55935386
811	19.27957082	27.54986452
812	19.27086173	27.53666339
813	19.26641063	27.52861014
814	19.26205928	27.52233996
815	19.25703848	27.5146262
816	19.24835616	27.49900116
817	19.2446223	27.49230839
818	19.23964646	27.48389971
819	19.23719695	27.47999521
820	19.23333371	27.47498741
821	19.22781577	27.4647388
822	19.22180621	27.45778593
823	19.21758729	27.45149198
824	19.21130002	27.44214537
825	19.20196456	27.42453019
826	19.19684207	27.41493853
827	19.18722304	27.40023958
828	19.18425885	27.3944031
829	19.18089623	27.39065517
830	19.17622048	27.38258502
831	19.17265136	27.37702347
832	19.16685264	27.3710869
833	19.16055415	27.36163889
834	19.15391138	27.35210454
835	19.14374406	27.33491502
836	19.14023948	27.33014655
837	19.1351184	27.32037012
838	19.1310187	27.31505662
839	19.12458417	27.3034973
840	19.11951466	27.29758052
841	19.11348599	27.28625887
842	19.10737027	27.28049253
843	19.09882226	27.26758754
844	19.09136727	27.25501685
845	19.08682477	27.24659918
846	19.08159108	27.2392224
847	19.07349504	27.22812427
848	19.06817559	27.22083127
849	19.06489796	27.21706267
850	19.05897169	27.21052339
851	19.05493629	27.2030155
852	19.04875441	27.1927673
853	19.04205482	27.18302434
854	19.0352827	27.17241762
855	19.02949081	27.16164386
856	19.02613828	27.15805255
857	19.01902809	27.1494
858	19.01534246	27.1429034
859	19.01234598	27.1375831
860	19.00374403	27.12219167
861	18.99834242	27.11665842
862	18.99188331	27.10524851
863	18.98716861	27.09732859
864	18.98106798	27.08428747
865	18.97671693	27.07852747
866	18.9719814	27.0703282
867	18.96755239	27.06348266
868	18.96447975	27.05797254
869	18.95970701	27.05164171
870	18.95558859	27.04417295
871	18.95354757	27.04195691
872	18.9482187	27.03306371
873	18.94256944	27.0233842
874	18.93550751	27.01078504
875	18.92733735	27.00036822
876	18.9248112	26.99823174
877	18.92236267	26.99591816
878	18.91699915	26.986167
879	18.91063091	26.97726069
880	18.90673146	26.96979675
881	18.90287153	26.96330185
882	18.89659211	26.9531072
883	18.88834015	26.94008453
884	18.88272266	26.93138286
885	18.87643575	26.91957668
886	18.87215344	26.91264319
887	18.86510759	26.90075685
888	18.85796237	26.88824897
889	18.85249792	26.87836894
890	18.84665066	26.86705905
891	18.84239336	26.85875475
892	18.83659041	26.84958158
893	18.83255734	26.8465125
894	18.82839974	26.84022857
895	18.82061644	26.82885769
896	18.81393363	26.81766301
897	18.80852893	26.80704697
898	18.80007076	26.79497989
899	18.79143679	26.78130362
900	18.78571546	26.77103366
901	18.78029359	26.76329313
902	18.77485928	26.75400204
903	18.77074286	26.74701494
904	18.76843572	26.74543687
905	18.76186952	26.73757625
906	18.75887824	26.73332211
907	18.75610927	26.72891698
908	18.75040672	26.72004029
909	18.74021186	26.70360438
910	18.73378254	26.69272001
911	18.72782958	26.68313924
912	18.72389333	26.67678591
913	18.71896403	26.67004877
914	18.71327311	26.66099596
915	18.7075632	26.65225681
916	18.70102944	26.64063032
917	18.69894568	26.63837099
918	18.69362673	26.63073753
919	18.68823251	26.62178419
920	18.68319713	26.61464054
921	18.67588338	26.60073624
922	18.66983798	26.59286045
923	18.66304709	26.58159855
924	18.65652589	26.5712622
925	18.65295138	26.56565024
926	18.64669922	26.55526745
927	18.64215524	26.54935029
928	18.63438491	26.53675209
929	18.62893126	26.52729022
930	18.62281123	26.51660924
931	18.61604142	26.50710938
932	18.61139042	26.50056305
933	18.60703066	26.49455089
934	18.60317593	26.48642838
935	18.59897125	26.47855987
936	18.59368135	26.47002742
937	18.58552804	26.45390612
938	18.58172808	26.44834007
939	18.5741854	26.43684123
940	18.56771752	26.42673065
941	18.56449796	26.42228871
942	18.55864689	26.41290683
943	18.55286498	26.40221586
944	18.54860011	26.39683154
945	18.54350548	26.38846482
946	18.53655009	26.37913491
947	18.53421651	26.37744139
948	18.52622423	26.36447773
949	18.51983058	26.3562943
950	18.51506496	26.34918372
951	18.51166624	26.34581748
952	18.50528222	26.33763048
953	18.49926308	26.32792396
954	18.49574363	26.32346294
955	18.48592182	26.30436793
956	18.47917072	26.29420406
957	18.47495816	26.28934118
958	18.47007202	26.2801753
959	18.46654801	26.27476131
960	18.46443889	26.27261091
961	18.45783996	26.26100138
962	18.45223824	26.25113615
963	18.44726935	26.24532983
964	18.43819681	26.23015282
965	18.43499694	26.22723658
966	18.42903283	26.21407969
967	18.42337715	26.20531925
968	18.41418934	26.19001199
969	18.40991248	26.18136047
970	18.40486699	26.17305121
971	18.39638636	26.15679119
972	18.39187953	26.14913925
973	18.38669502	26.13958706
974	18.37943002	26.12767686
975	18.37565956	26.1247581
976	18.36955543	26.11517848
977	18.36406936	26.10635009
978	18.35871504	26.09889407
979	18.3540327	26.09110897
980	18.34938001	26.0830772
981	18.34562596	26.07891568
982	18.33992643	26.06821954
983	18.33504666	26.05935227
984	18.32898279	26.05034416
985	18.32444377	26.04516567
986	18.31842818	26.03829407
987	18.31295072	26.03164425
988	18.30602091	26.01951971
989	18.30056836	26.01060537
990	18.29604168	26.00172934
991	18.29053919	25.99001889
992	18.28484633	25.98220038
993	18.27874445	25.97420369
994	18.27242533	25.96704744
995	18.27005482	25.96331858
996	18.26507435	25.9547631
997	18.26144408	25.95074701
998	18.25627318	25.94193742
